îN,ãCà≥(hPa),ç~êÖó (mm),ãCâ∑(Åé),éºìx(Åì),ïóå¸ÅEïóë¨(m/s),"ì˙è∆
éûä‘
(h)","ëSìVì˙éÀó 
(MJ/m2)",ê·(ä¶åÛîNÅEcm),â_ó ,ëÂãCåªè€,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,,,625.2 ],91.9 ],7.8 ],2.9 ],2.4 ],5.9 ],-0.8 ],20.4 ],-14.3 ],80 ],,,,,,,,,,,,,,,
1943,,1011.9,1150.4,63.8,27.4 ],8.0 ],5.9,9.2,2.6,31.5,-17.3,81,,,,,,,1601.2,,,,5 ],,97 ],32,5
1944,,1011.3,1111.0,100.4,21.0 ],6.9 ],5.1,8.9,1.5,32.7,-22.9,80,,,,,,,1591.7,,,,134 ],,150,31,10
1945,,1011.1,1129.0,53.9,19.5 ],9.5 ],4.5,7.9,1.2,29.4,-21.0,81,,,,,,,1384.0,,,,53 ],,149,27,6
1946,,1010.8,1312.9,67.8,12.0 ],7.9 ],6.2,10.2,2.4,32.7,-21.3,80,,,,,,,1611.4,,,,,,146,12,8
1947,,1011.3,1452.9,110.8,16.5 ],5.4 ],5.1,8.8,1.4,30.5,-26.4,82,,,,,,,1459.8,,,,111 ],,147,30,4
1948,,1012.7,1139.4,69.0,12.4 ],9.2 ],6.7,10.4,3.3,31.6,-17.1,81,,,,,,,1517.8,,,,117 ],,144,38,9
1949,,1012.1,1054.9,49.5,28.3 ],9.5 ],5.7,9.2,2.3,30.0,-16.8,83,,,,,,,1612.5,,,,149 ],,146,31,2
1950,1011.2,1012.1,1133.4,113.7,13.7 ],4.2 ],6.2,10.0,2.6,33.0,-19.5,79,,,,,,,1788.3,,,,150 ],,136,25,5
1951,1011.0,1011.9,1010.6,73.2,30.3 ],11.1 ],5.7,9.5,2.3,32.7,-22.1,78,,4.3,,,,,1701.2,,,,54 ],7.0,138,27,7
1952,1012.0,1012.9,1110.1,77.2,16.9 ],7.6 ],5.0,9.0,1.6,29.2,-19.2,79,,4.0,,,,,1591.6,,,,,7.0,131,34,10
1953,1012.5,1013.5,1142.3,41.5,22.1 ],15.0 ],4.5,8.0,1.4,30.8,-23.3,80,,4.1,,,,,1523.5,,270 ],,80 ],6.8,152,34,12
1954,1012.8,1013.7,1184.2,51.2,27.0 ],10.0 ],4.9,8.4,1.9,27.5,-21.8,79,,4.1,,,,,1407.2,,591,,154 ],7.2,151,26,4
1955,1010.5,1011.4,1834.0,94.1,22.0 ],7.2 ],6.1,9.6,3.1,32.8,-18.8,80,,4.3,,,,,1466.4,,502,,,7.1,144,10,5
1956,1010.5,1011.4,1074.3,33.6,11.6 ],4.8 ],5.4,9.0,2.4,28.8,-23.2,79,,4.2,,,,,1484.5,,505,,,7.2,145,21,5
1957,1010.7,1011.7,1278.0,37.3,12.1 ],5.6 ],5.6,9.3,2.7,29.6,-17.7,79,,3.9,,,,,1642.5,,602,,,7.0,148,27,2
1958,1011.3,1012.2,1480.8,65.6,16.3 ],7.0 ],5.7,9.4,2.6,31.2,-23.4,79,,4.3,,,,,1691.9,,848,,231 ],7.0,140,24,8
1959,1011.6,1012.5,1172.6,33.9,17.5 ],7.6 ],5.9,9.3,2.9,30.3,-18.0,79,,3.8,,,,,1613.0,,481,,3 ],7.3,131,31,9
1960,1011.2,1012.2,1106.0,63.2,24.5 ],10.0 ],5.3,8.7,2.1,28.8,-19.6,77,,4.0,,,,,1800.6,,523,,,6.7,140,14,4
1961,1010.3,1011.3,1242.1,58.5,28.1 ],12.0 ],6.6,10.3,3.3,32.5,-19.6,76,17,3.7,21.7,êºìÏêº,38.4 ],êºìÏêº,1784.5,,432,20 ],115 ],7.0,147,13,4
1962,1010.2,1011.1,1615.5,96.0,19.7 ],9.7 ],5.7,9.5,2.5,31.9,-19.2,79,21,3.6,16.3,ñkñkìå,27.0,êºìÏêº,1580.5,,662,34,145,7.1,124,18,6
1963,1010.6,1011.5,1165.9,77.6,12.5 ],5.7 ],6.1,9.8,2.9,29.9,-17.4,78,14,3.5,18.0,ñkñkìå,30.9,êºìÏêº,1607.3,,471,34,90,7.1,123,29,4
1964,1013.5,1014.5,998.9,35.3,12.1,4.5,4.9,8.7,1.3,30.2,-20.9,78,13,3.4,16.8,ìÏêº,33.7,ìÏêº,1651.9,,458,28,64,7.0,127,20,6
1965,1009.1,1010.0,1544.9,68.4,24.1,8.1,5.2,8.8,1.8,28.3,-17.4,78,13,3.6,16.0,ìåñkìå,28.8,êº,1608.1,,694,36,141,7.1,141,21,9
1966,1009.6,1010.6,1634.5,92.2,17.1,5.0,5.1,8.6,1.8,29.1,-18.4,80,18,3.7,16.7,ñk,24.9,ñkñkêº,1501.1,,1004,36,152,7.3,149,21,0
1967,1010.9,1011.8,1130.4,53.4,13.1,7.0,5.5,9.3,1.9,30.2,-22.6,77,17,3.4,15.5,êºìÏêº,27.4,êºìÏêº,1815.4,,584,46,78,6.8,134,29,4
1968,1011.6,1012.6,1106.5,50.0,14.0,8.5,6.2,9.9,2.8,31.2,-21.4,80,21,3.2,13.2,ñkñkêº,24.9,êºìÏêº,1648.4,,654,34,100,7.2,126,18,3
1969,1010.4,1011.4,1311.0,49.0,24.0,10.0,4.5,8.2,0.9,29.0,-23.9,78,19,3.3,17.5,ñk,28.6,êºìÏêº,1672.9,,661,42,120,7.1,124,14,4
1970,1010.8,1011.7,1274.0,78.5,13.5,5.5,5.6,9.6,1.7,30.2,-21.2,79,16,3.3,19.0,ñk,32.5,ìÏêº,1849.3,,935,72,205,7.0,146,14,2
1971,1011.0,1011.9,1095.0,47.0,26.5,9.5,5.3,8.8,1.8,29.6,-19.6,79,15,3.3,16.3,êºìÏêº,29.6,êºìÏêº,1627.4,,669,43,138,7.3,139,11,2
1972,1011.2,1012.2,1331.0,87.5,14.0,6.0,6.6,10.5,3.0,31.2,-17.7,76,18,3.6,19.7,ñkñkìå,31.4,êºìÏêº,1816.8,,623,44,111,7.4,122,16,5
1973,1010.2,1011.1,1479.0,68.0,29.5,12.0,6.1,9.9,2.5,32.1,-15.7,79,23,3.3,15.2,êºìÏêº,27.0,êºìÏêº,1755.2,,662,42,152,7.3,135,26,5
1974,1010.9,1011.8,1325.5,64.5,26.0,9.0,5.3,8.5,2.1,30.5,-14.6,79,19,3.1,15.3,ñkìå,28.7,êº,1632.6,10.9 ],787,36,128,7.5,139,41,6
1975,1011.9,1012.9,1440.0,81.5,22.0,10.5,5.5,8.9,2.2,29.7,-19.4,77,23,2.7,13.8,ñkìå,23.3,ñkñkêº,1749.6,10.8,643,62,116,7.2,146,34,7
1976,1010.4,1011.3,1041.5,39.5,15.0,5.5,5.7,9.1,2.3,32.8,-17.0,73,16,2.7,15.3,ñkñkìå,29.4,êºìÏêº,1847.0,11.1,583,46,102,7.1,122,11,4
1977,1011.8,1012.7,1196.0,49.0,13.0,4.0,5.1,8.5,1.6,31.7,-23.5,76,19,2.7,12.2,êºìÏêº,25.3,êºìÏêº,1832.3,11.0,602,29,103,7.1,159,30,5
1978,1010.4,1011.3,1165.5,60.5,21.0,9.5,5.7,9.4,2.0,34.0,-22.6,74,15,2.8,12.5,ñkñkìå,23.5,ìÏêº,1996.6,11.8,572,33,104,6.9,126,18,12
1979,1011.3,1012.3,1244.5,60.5,22.0,6.5,5.8,9.5,2.3,32.9,-18.0,77,23,2.8,14.9,ñkñkìå,31.0,êºìÏêº,1897.5,12.0,583,40,150,6.8,137,13,8
1980,1010.6,1011.5,1140.5,73.5,17.5,5.5,5.2,8.7,2.0,25.7,-18.6,78,20,2.8,13.3,ñkñkìå,32.3,êºìÏêº,1629.7,11.0,603,40,104,7.4,142,23,2
1981,1010.0,1011.0,1500.0,123.5,20.5,8.5,4.9,8.2,1.7,32.7,-17.0,79,20,2.8,14.2,ñkñkìå,32.1,ìÏêº,1629.7,10.7,597,44,108,7.6,128,24,7
1982,1011.4,1012.4,1007.0,65.0,20.0,7.5,6.0,9.5,2.4,30.5,-20.8,78,21,2.6,15.2,ñkñkìå,28.9,ìÏêº,1950.4,11.7,720,56,130,7.3,155,29,7
1983,1011.2,1012.2,1079.5,81.5,39.0,10.0,4.9,8.1,1.7,29.4,-17.5,79,17,2.6,11.9,ìÏêº,28.2,êºìÏêº,1736.8,11.1,606,24,96,7.6,120,25,10
1984,1011.9,1012.9,958.0,65.0,22.5,6.0,5.3,8.7,2.0,31.5,-18.0,78,21,2.6,12.8,ìå,29.3,êº,2006.6,12.3,425,17,81,7.2,141,28,6
1985,1011.6,1012.6,1167.0,51.0,18.5,11.5,5.3,8.9,1.8,31.6,-22.3,76,16,2.4,12.3,ñkñkìå,26.8,êº,1988.8,12.3,554,30,132,7.2,135,12,6
1986,1011.1,1012.1,1070.5,37.0,13.5,5.0,4.7,8.2,1.3,32.9,-22.2,77,14,2.5,13.8,ñkñkìå,27.4,êºìÏêº,1738.6,11.4,696,33,126,7.3,146,30,7
1987,1010.8,1011.8,1243.0,42.0,27.0,10.5,5.5,9.1,2.0,27.7,-20.0,74,15,2.6,12.1,êºìÏêº,27.7,êºìÏêº,1833.2,11.8,689,32,137,7.4,151,20,9
1988,1010.8,1011.8,1187.5,60.5,28.5,8.5,5.1,8.4,2.0,30.5,-20.4,79,22,2.6,14.3,ñkñkìå,27.4,ñk,1637.7,11.6,495,27,98,7.3,141,31,5
1989,1012.4,1013.3,1259.0,68.5,16.5,6.5,6.7,10.2,3.4,33.3,-13.4,75,16,2.7,14.8,ñkñkìå,30.1,êºìÏêº,1678.3,11.3,534,42,80,7.3,135,19,6
1990,1012.5,1013.5,1097.0,63.5,22.0,11.5,7.5,11.0,4.1,32.9,-19.3,77,18,2.8,13.6,ìåìÏìå,29.8,êºìÏêº,1615.7,11.1,542,35,109,7.4,117,16,9
1991,1011.1,1012.1,1106.0,56.0,20.5,7.5,6.6,10.1,3.3,29.9,-15.6,77,15,2.8,15.0,ñkñkìå,27.5,êºìÏêº,1569.5,11.8,558,33,95,7.5,124,21,6
1992,1011.5,1012.5,1459.0,90.0,18.0,8.0,5.9,9.4,2.6,30.3,-14.1,77,21,2.7,12.0,ñkñkêº,31.2,ñkñkêº,1448.1,11.0,516,35,96,7.7,138,19,7
1993,1011.2,1012.2,1048.0,42.5,17.5,4.5,5.7,8.9,2.6,30.3,-14.0,77,18,2.8,11.5,ñkìå,26.8,êºìÏêº,1376.8,10.8,529,28,99,7.8,139,18,4
1994,1010.5,1011.5,1154.5,52.0,21.0,10.5,6.6,10.1,3.2,32.0,-15.7,75,14,2.8,12.7,ìå,28.8,êºìÏêº,1555.5,11.7,746,38,141,7.2,144,16,2
1995,1009.9,1010.9,1083.5,42.0,15.5,6.5,6.7,10.1,3.4,31.2,-16.4,74,19,2.8,14.4,êºìÏêº,33.9,êºìÏêº,1479.8,11.3,564,26,118,7.8 ],12 ],4 ],2 ]
1996,1010.8,1011.7,1390.5,75.0,36.0,11.0,5.2,8.5,2.0,28.9,-17.4,76,21,2.6,11.3,ìÏìÏìå,27.4,êºìÏêº,1359.4,10.7,440,36,92,8.1,140,10,3
1997,1010.6,1011.5,1233.5,89.5,36.5,16.0,6.2,9.7,2.9,31.2,-13.2,75,18,2.8,11.4,ñkìå,27.5,ìÏêº,1420.6,10.9,527,30,112 ],7.9,138,20,2
1998,1012.5,1013.5,1273.5,80.0,15.0,9.5,6.0,9.4,2.6,27.8,-17.9,76,13,2.8,15.1,ñkñkìå,28.1,ñkñkìå,1487.0,11.6,350,21,71,7.8,113,14,4
1999,1010.6,1011.6,1203.5,55.5,12.5,7.0,6.5,10.0,3.1,33.4,-18.6,76,20,2.7,12.0,êºìÏêº,31.7,êºìÏêº,1581.5,11.9,607,34,122,8.1,143,11,1
2000,1010.9,1011.8,1297.0,93.0,27.0,8.0,5.8,9.0,2.7,35.0,-20.7,79,24,2.5,14.2,ñk,30.2,ñk,1375.9,11.2,620,27,112,8.1,141,23,1
2001,1010.6,1011.6,1300.5,134.0,22.0,8.5,5.4,8.7,2.2,29.9,-20.1,76,13,2.8,12.2,ñkñkìå,28.4,êºìÏêº,1536.5,11.6,683,31,137,7.8,148,14,4
2002,1010.6,1011.6,1311.5,82.0,21.5,7.0,6.2,9.7,2.9,32.1,-15.9,75,14,2.7,14.5,ìå,28.3,ìåìÏìå,1511.6,11.4,536,27,108,7.8,120,6,2
2003,1012.0,1013.0,964.5,51.5,12.5,5.0,6.0,9.5,2.5,29.2,-16.5,76,14,2.7,14.7,ñkñkìå,32.7,ìÏêº,1617.1,11.6,479,28,121,7.6,124,11,1
2004,1010.3,1011.3,1154.0,63.0,20.5,6.5,7.2,10.9,3.6,33.7,-13.4,75,18,3.5,17.8,ñk,45.6,ìÏêº,1594.0,13.5 ],584,45,159,8.0 ],137,1 ],1 ]
2005,1009.7,1010.7,1003.0,69.5,23.5,7.5,6.4,9.9,3.1,31.1,-18.8,77,24,3.8,19.3,ñkñkìå,28.0,ñkìå,1592.1,,601,25,112,,146 ],18,
2006,1011.6,1012.6,995.5,68.5,18.5,11.5,6.3,9.7,3.1,31.0,-15.9,76,18,3.7,21.1,ñkñkìå,32.1,êºñkêº,1520.1,,558,25,78,,149,29,
2007,1011.4,1012.4,813.5,50.5,24.0,7.5,6.4,9.7,3.0,32.8,-13.6,75,22,3.7,20.0,ñk,33.0,ñk,1560.0,,566,34,84,,141,26,
2008,1011.8,1012.8,697.0,48.5,20.0,6.5,6.3,9.8,2.9,29.8,-17.3,76,18,3.5,19.8,ñkñkìå,26.2,ìÏêº,1539.3,,470,21,82,,137,28,
2009,1011.0,1012.0,1029.5,71.0 ],12.5 ],4.0 ],6.3,9.7,3.0,29.2,-15.4,75,10,3.7,17.8,ñk,27.9,ñkñkêº,1350.7 ],,560,27,119,,129,28,
2010,1011.0,1012.0,1412.0,92.5,42.5,14.0,7.0,10.5,3.7,33.6,-16.1,76,21,3.8,20.2,ñk,26.7,ñk,1496.3,,610,33,100,,152,24,
2011,1010.2,1011.3,1087.5,46.0,12.5,5.5,6.6,10.0,3.2,30.4,-16.8,75,18,3.8,17.4,ìÏêº,27.7,ìÏêº,1550.8,,449,33,75,,131,31,
2012,1011.4,1012.4,1139.0,83.0,15.0,7.0,5.9,9.1,2.7,33.3,-17.4,79,19,3.6,19.0,ìÏêº,32.7,êºìÏêº,1322.5,,567,30,115,,136,40,
2013,1009.6,1010.7,1332.5,79.5 ],40.5,12.5,6.3,9.7,3.2,31.2,-16.3,79,25,3.8,18.7,ñkñkìå,28.6,ñkñkêº,1366.6,,788,55,133,,154,25,
2014,1010.5,1011.6,1165.5,90.5,20.5,9.5,6.3,9.9,2.9,32.6,-17.1,77,15,3.9,19.4,ñkñkìå,26.2,ìÏêº,1632.6,,527,30,107,,126,37,
2015,1011.2,1012.2,1013.5,125.0,21.5,9.0,7.1,10.3,3.9,29.3,-14.3,79,16,4.0,20.0,ñk,30.3,ìÏìÏêº,1472.7,,439,40,86,,152,32,
2016,1011.7,1012.8,1513.5,113.0,35.5,10.0,6.0,9.3,2.8,30.7,-15.6,81,19,3.7,18.5,ñk,27.4,êºìÏêº,1565.5,,462,24,88,,169,36,
2017,1009.8,1010.8,1118.5,48.5,13.5,10.0,6.4,9.8,3.0,30.8,-14.3,79,19,3.9,19.6,ìå,27.2,ìå,1498.4,,474,20,78,,167,35,
2018,1011.1,1012.2,1354.5,66.5,27.0,11.5,6.6,10.2,3.2,34.1,-14.5,79,23,3.8,16.8,ìå,23.8,ìÏêº,1491.1,,647,32,134,,161,27,
2019,1010.8,1011.8,932.5,58.0,18.0,12.0,6.9,10.6,3.4,31.9,-17.0,77,16,3.8,16.0,ñk,26.3,êºìÏêº,1616.6,,502,26 ],81,,137,24,
2020,1011.6,1012.6,1202.0,71.5,19.0,6.0,6.9,10.3,3.8,30.9,-16.4,80,20,3.7,17.6,ñkñkìå,26.6,êº,1495.4,,433,24,75,,149,22,
2021,1011.4,1012.5,1205.5,58.5,18.0,10.5,7.1,10.9,3.6,33.2,-15.8,80,14,3.7,16.7,ìÏêº,29.7,êºìÏêº,1742.7,,486,29,77,,147,39,
2022,1010.8,1011.9,1243.0,113.0,25.5,8.5,7.2,10.9,3.8,30.8,-15.2,80,11,3.7,20.6,ñk,28.7,ñk,1536.0,,499,43,93,,133,40,
2023,1011.4 ],1012.5 ],340.5 ],35.0 ],19.0 ],9.0 ],3.7 ],7.6 ],-0.1 ],28.8 ],-16.7 ],77 ],12 ],3.8 ],15.9 ],êºìÏêº,28.6 ],ìÏêº,914.4 ],,435 ],31 ],93 ],,138 ],13 ],
